# TITLE= "run22_thmin20_thmax85_rv1e19_f0p1_r1.IP.dat"
# Coord_Sys CYLIND
x z var inwind i j
2.2142e+16 442830000000000.0 0.0 -2 0 0
2.2142e+16 942100000000000.0 0.0 -1 0 1
2.2142e+16 1062200000000000.0 0.0 -1 0 2
2.2142e+16 1197500000000000.0 0.0 -1 0 3
2.2142e+16 1350100000000000.0 0.0 -1 0 4
2.2142e+16 1522100000000000.0 0.0 -1 0 5
2.2142e+16 1716100000000000.0 0.0 -1 0 6
2.2142e+16 1934800000000000.0 0.0 -1 0 7
2.2142e+16 2181400000000000.0 0.0 -1 0 8
2.2142e+16 2459300000000000.0 0.0 -1 0 9
2.2142e+16 2772700000000000.0 0.0 -1 0 10
2.2142e+16 3126000000000000.0 0.0 -1 0 11
2.2142e+16 3524400000000000.0 0.0 -1 0 12
2.2142e+16 3973500000000000.0 0.0 -1 0 13
2.2142e+16 4479900000000000.0 0.0 -1 0 14
2.2142e+16 5050800000000000.0 0.0 -1 0 15
2.2142e+16 5694400000000000.0 0.0 -1 0 16
2.2142e+16 6420000000000000.0 0.0 -1 0 17
2.2142e+16 7238100000000000.0 0.0 -1 0 18
2.2142e+16 8160500000000000.0 0.0 -1 0 19
2.2142e+16 9200400000000000.0 0.0 -1 0 20
2.2142e+16 1.0373e+16 0.0 -1 0 21
2.2142e+16 1.1695e+16 0.0 -1 0 22
2.2142e+16 1.3185e+16 0.0 -1 0 23
2.2142e+16 1.4865e+16 0.0 -1 0 24
2.2142e+16 1.6759e+16 0.0 -1 0 25
2.2142e+16 1.8895e+16 0.0 -1 0 26
2.2142e+16 2.1303e+16 0.0 -1 0 27
2.2142e+16 2.4017e+16 0.0 -1 0 28
2.2142e+16 2.7078e+16 0.0 -1 0 29
2.2142e+16 3.0529e+16 0.0 -1 0 30
2.2142e+16 3.4419e+16 0.0 -1 0 31
2.2142e+16 3.8805e+16 0.0 -1 0 32
2.2142e+16 4.375e+16 0.0 -1 0 33
2.2142e+16 4.9325e+16 0.0 -1 0 34
2.2142e+16 5.561e+16 0.0 -1 0 35
2.2142e+16 6.2697e+16 0.0 -1 0 36
2.2142e+16 7.0686e+16 0.0 -1 0 37
2.2142e+16 7.9694e+16 0.0 -1 0 38
2.2142e+16 8.985e+16 0.0 -1 0 39
2.2142e+16 1.013e+17 0.0 -1 0 40
2.2142e+16 1.1421e+17 0.0 -1 0 41
2.2142e+16 1.2876e+17 0.0 -1 0 42
2.2142e+16 1.4517e+17 0.0 -1 0 43
2.2142e+16 1.6367e+17 0.0 -1 0 44
2.2142e+16 1.8453e+17 0.0 -1 0 45
2.2142e+16 2.0804e+17 0.0 -1 0 46
2.2142e+16 2.3455e+17 0.0 -1 0 47
2.2142e+16 2.6444e+17 0.0 -1 0 48
2.2142e+16 2.9814e+17 0.0 -1 0 49
2.2142e+16 3.3613e+17 0.0 -1 0 50
2.2142e+16 3.7896e+17 0.0 -1 0 51
2.2142e+16 4.2725e+17 0.0 -1 0 52
2.2142e+16 4.817e+17 0.0 -1 0 53
2.2142e+16 5.4308e+17 0.0 -1 0 54
2.2142e+16 6.1229e+17 0.0 -1 0 55
2.2142e+16 6.9031e+17 0.0 -1 0 56
2.2142e+16 7.7828e+17 0.0 -1 0 57
2.2142e+16 8.7746e+17 0.0 -1 0 58
2.2142e+16 9.8927e+17 0.0 -1 0 59
2.2142e+16 1.1153e+18 0.0 -1 0 60
2.2142e+16 1.2575e+18 0.0 -1 0 61
2.2142e+16 1.4177e+18 0.0 -1 0 62
2.2142e+16 1.5984e+18 0.0 -1 0 63
2.2142e+16 1.802e+18 0.0 -1 0 64
2.2142e+16 2.0317e+18 0.0 -1 0 65
2.2142e+16 2.2906e+18 0.0 -1 0 66
2.2142e+16 2.5825e+18 0.0 -1 0 67
2.2142e+16 2.9116e+18 0.0 -1 0 68
2.2142e+16 3.2826e+18 0.0 -1 0 69
2.2142e+16 3.7009e+18 0.0 -1 0 70
2.2142e+16 4.1725e+18 0.0 -1 0 71
2.2142e+16 4.7042e+18 0.0 -1 0 72
2.2142e+16 5.3037e+18 0.0 -1 0 73
2.2142e+16 5.9795e+18 0.0 -1 0 74
2.2142e+16 6.7415e+18 0.0 -1 0 75
2.2142e+16 7.6006e+18 0.0 -1 0 76
2.2142e+16 8.5691e+18 0.0 -1 0 77
2.2142e+16 9.6611e+18 0.0 -1 0 78
2.2142e+16 1.0892e+19 0.0 -1 0 79
2.2142e+16 1.228e+19 0.0 -1 0 80
2.2142e+16 1.3845e+19 0.0 -1 0 81
2.2142e+16 1.5609e+19 0.0 -1 0 82
2.2142e+16 1.7598e+19 0.0 -1 0 83
2.2142e+16 1.9841e+19 0.0 -1 0 84
2.2142e+16 2.2369e+19 0.0 -1 0 85
2.2142e+16 2.522e+19 0.0 -1 0 86
2.2142e+16 2.8434e+19 0.0 -1 0 87
2.2142e+16 3.2057e+19 0.0 -1 0 88
2.2142e+16 3.6142e+19 0.0 -1 0 89
2.2142e+16 4.0748e+19 0.0 -1 0 90
2.2142e+16 4.594e+19 0.0 -1 0 91
2.2142e+16 5.1795e+19 0.0 -1 0 92
2.2142e+16 5.8395e+19 0.0 -1 0 93
2.2142e+16 6.5836e+19 0.0 -1 0 94
2.2142e+16 7.4226e+19 0.0 -1 0 95
2.2142e+16 8.3685e+19 0.0 -1 0 96
2.2142e+16 9.4349e+19 0.0 -1 0 97
2.2142e+16 1.0637e+20 0.0 -1 0 98
2.2142e+16 1.1993e+20 0.0 -1 0 99
4.6118e+16 442830000000000.0 1.6649063067504072e+22 1 1 0
4.6118e+16 942100000000000.0 1.7813626521621228e+22 1 1 1
4.6118e+16 1062200000000000.0 1.7723179551673511e+22 1 1 2
4.6118e+16 1197500000000000.0 1.7796602305940879e+22 1 1 3
4.6118e+16 1350100000000000.0 1.7898178209951647e+22 1 1 4
4.6118e+16 1522100000000000.0 1.7917545604208434e+22 1 1 5
4.6118e+16 1716100000000000.0 1.7731434990302564e+22 1 1 6
4.6118e+16 1934800000000000.0 1.7685671087932407e+22 1 1 7
4.6118e+16 2181400000000000.0 1.7584387100372179e+22 1 1 8
4.6118e+16 2459300000000000.0 1.75740196588187e+22 1 1 9
4.6118e+16 2772700000000000.0 1.74477778820568e+22 1 1 10
4.6118e+16 3126000000000000.0 1.7396893804658241e+22 1 1 11
4.6118e+16 3524400000000000.0 1.71066491151868e+22 1 1 12
4.6118e+16 3973500000000000.0 1.6795561451623813e+22 1 1 13
4.6118e+16 4479900000000000.0 1.6539433792643088e+22 1 1 14
4.6118e+16 5050800000000000.0 1.6147158756213012e+22 1 1 15
4.6118e+16 5694400000000000.0 1.5864460424547221e+22 1 1 16
4.6118e+16 6420000000000000.0 1.5561367537901466e+22 1 1 17
4.6118e+16 7238100000000000.0 1.517809878465967e+22 1 1 18
4.6118e+16 8160500000000000.0 1.4688304900414129e+22 1 1 19
4.6118e+16 9200400000000000.0 1.421079863663534e+22 1 1 20
4.6118e+16 1.0373e+16 1.3551254833281987e+22 1 1 21
4.6118e+16 1.1695e+16 0.0 -1 1 22
4.6118e+16 1.3185e+16 0.0 -1 1 23
4.6118e+16 1.4865e+16 0.0 -1 1 24
4.6118e+16 1.6759e+16 0.0 -1 1 25
4.6118e+16 1.8895e+16 0.0 -1 1 26
4.6118e+16 2.1303e+16 0.0 -1 1 27
4.6118e+16 2.4017e+16 0.0 -1 1 28
4.6118e+16 2.7078e+16 0.0 -1 1 29
4.6118e+16 3.0529e+16 0.0 -1 1 30
4.6118e+16 3.4419e+16 0.0 -1 1 31
4.6118e+16 3.8805e+16 0.0 -1 1 32
4.6118e+16 4.375e+16 0.0 -1 1 33
4.6118e+16 4.9325e+16 0.0 -1 1 34
4.6118e+16 5.561e+16 0.0 -1 1 35
4.6118e+16 6.2697e+16 0.0 -1 1 36
4.6118e+16 7.0686e+16 0.0 -1 1 37
4.6118e+16 7.9694e+16 0.0 -1 1 38
4.6118e+16 8.985e+16 0.0 -1 1 39
4.6118e+16 1.013e+17 0.0 -1 1 40
4.6118e+16 1.1421e+17 0.0 -1 1 41
4.6118e+16 1.2876e+17 0.0 -1 1 42
4.6118e+16 1.4517e+17 0.0 -1 1 43
4.6118e+16 1.6367e+17 0.0 -1 1 44
4.6118e+16 1.8453e+17 0.0 -1 1 45
4.6118e+16 2.0804e+17 0.0 -1 1 46
4.6118e+16 2.3455e+17 0.0 -1 1 47
4.6118e+16 2.6444e+17 0.0 -1 1 48
4.6118e+16 2.9814e+17 0.0 -1 1 49
